date,year,month,weekday,transportation_mode,type,values,percentage_of_pre_panademic_day
01/01/2021,2021,January,Friday,Subways,Ridership,613692,29
01/02/2021,2021,January,Saturday,Subways,Ridership,988418,37
01/03/2021,2021,January,Sunday,Subways,Ridership,653187,31
01/04/2021,2021,January,Monday,Subways,Ridership,1557977,30
01/05/2021,2021,January,Tuesday,Subways,Ridership,1597518,31
01/06/2021,2021,January,Wednesday,Subways,Ridership,1613629,31
01/07/2021,2021,January,Thursday,Subways,Ridership,1611099,31
01/08/2021,2021,January,Friday,Subways,Ridership,1619242,31
01/09/2021,2021,January,Saturday,Subways,Ridership,990412,37
01/10/2021,2021,January,Sunday,Subways,Ridership,763097,36
01/11/2021,2021,January,Monday,Subways,Ridership,1568207,30
01/12/2021,2021,January,Tuesday,Subways,Ridership,1640428,32
01/13/2021,2021,January,Wednesday,Subways,Ridership,1641652,32
01/14/2021,2021,January,Thursday,Subways,Ridership,1647396,32
01/15/2021,2021,January,Friday,Subways,Ridership,1627120,32
01/16/2021,2021,January,Saturday,Subways,Ridership,991500,37
01/17/2021,2021,January,Sunday,Subways,Ridership,797654,38
01/18/2021,2021,January,Monday,Subways,Ridership,1276978,61
01/19/2021,2021,January,Tuesday,Subways,Ridership,1635915,32
01/20/2021,2021,January,Wednesday,Subways,Ridership,1575075,31
01/21/2021,2021,January,Thursday,Subways,Ridership,1652842,32
01/22/2021,2021,January,Friday,Subways,Ridership,1672001,33
01/23/2021,2021,January,Saturday,Subways,Ridership,997551,37
01/24/2021,2021,January,Sunday,Subways,Ridership,741139,35
01/25/2021,2021,January,Monday,Subways,Ridership,1592468,31
01/26/2021,2021,January,Tuesday,Subways,Ridership,1550953,30
01/27/2021,2021,January,Wednesday,Subways,Ridership,1660278,32
01/28/2021,2021,January,Thursday,Subways,Ridership,1646806,32
01/29/2021,2021,January,Friday,Subways,Ridership,1511680,29
01/30/2021,2021,January,Saturday,Subways,Ridership,942615,35
01/31/2021,2021,January,Sunday,Subways,Ridership,722853,35
02/01/2021,2021,February,Monday,Subways,Ridership,583230,11
02/02/2021,2021,February,Tuesday,Subways,Ridership,1005985,19
02/03/2021,2021,February,Wednesday,Subways,Ridership,1702598,31
02/04/2021,2021,February,Thursday,Subways,Ridership,1785833,33
02/05/2021,2021,February,Friday,Subways,Ridership,1741015,32
02/06/2021,2021,February,Saturday,Subways,Ridership,1148477,40
02/07/2021,2021,February,Sunday,Subways,Ridership,652521,30
02/08/2021,2021,February,Monday,Subways,Ridership,1639753,30
02/09/2021,2021,February,Tuesday,Subways,Ridership,1666467,31
02/10/2021,2021,February,Wednesday,Subways,Ridership,1750121,32
02/11/2021,2021,February,Thursday,Subways,Ridership,1714656,32
02/12/2021,2021,February,Friday,Subways,Ridership,1706430,31
02/13/2021,2021,February,Saturday,Subways,Ridership,1092063,38
02/14/2021,2021,February,Sunday,Subways,Ridership,858014,39
02/15/2021,2021,February,Monday,Subways,Ridership,1218593,56
02/16/2021,2021,February,Tuesday,Subways,Ridership,1627528,30
02/17/2021,2021,February,Wednesday,Subways,Ridership,1733160,32
02/18/2021,2021,February,Thursday,Subways,Ridership,1381886,25
02/19/2021,2021,February,Friday,Subways,Ridership,1566021,29
02/20/2021,2021,February,Saturday,Subways,Ridership,1110589,39
02/21/2021,2021,February,Sunday,Subways,Ridership,836095,38
02/22/2021,2021,February,Monday,Subways,Ridership,1582054,29
02/23/2021,2021,February,Tuesday,Subways,Ridership,1730198,32
02/24/2021,2021,February,Wednesday,Subways,Ridership,1806306,33
